l2_error,loss_boundary,loss_interior,loss,_runtime,_timestamp,_step,step,time
0.0006422357627918375,5.158866724583405e-07,3.6859983724848827e-06,4.201885044943223e-06,133.32942175865173,1714598193.9785306,112,35744,129.2547252178192
0.0005582847443326101,4.002846068581113e-07,3.1112407862831465e-06,3.511525393141258e-06,146.01901483535767,1714598206.6681237,113,39318,141.94411420822144
0.0004887104355859284,3.16139503008374e-07,2.6581696732707827e-06,2.9743091762791565e-06,160.02565956115723,1714598220.6747684,114,43250,155.95101189613342
0.0004337819018068429,2.56001253595713e-07,2.324881635908384e-06,2.580882889504097e-06,175.322674036026,1714598235.971783,115,47575,171.2476704120636
0.0003925214563538891,2.138282133446266e-07,2.0941584170068004e-06,2.307986630351427e-06,192.29833984375,1714598252.9474487,116,52332,188.2232723236084
0.0003626633100033055,1.8449764234990125e-07,1.9371366052343077e-06,2.1216342475842088e-06,211.1919584274292,1714598271.8410673,117,57566,207.11681079864502
0.0003413795541562013,1.6382971552672826e-07,1.82451044248403e-06,1.9883401580107584e-06,231.9543261528015,1714598292.603435,118,63322,227.87921929359436
0.000326050283559599,1.487153221443851e-07,1.7345684980661403e-06,1.8832838202105254e-06,254.42477703094482,1714598315.073886,119,69654,250.34965443611145
0.000314701845743547,1.37122585404174e-07,1.6547545952437072e-06,1.7918771806478813e-06,279.2240061759949,1714598339.873115,120,76620,275.1489064693451
0.00030603313281186013,1.2787094517094388e-07,1.578702797063953e-06,1.7065737422348968e-06,306.43039298057556,1714598367.0795019,121,84281,302.35546469688416
0.00029920780957985266,1.2030632150274435e-07,1.5029191170450317e-06,1.6232254385477761e-06,336.6213881969452,1714598397.270497,122,92710,332.5462894439697
0.0002936245350950379,1.1404039859383024e-07,1.425033276810105e-06,1.5390736754039353e-06,369.68025636672974,1714598430.3293653,123,101980,365.60523414611816
0.0002887632934706863,1.087853987089341e-07,1.3429678793766842e-06,1.4517532780856182e-06,406.0194821357727,1714598466.668591,124,112178,401.94442486763
0.0002841671771803686,1.0431516204743088e-07,1.255029847691605e-06,1.3593450097390358e-06,445.96678400039673,1714598506.615893,125,123396,441.89182901382446
0.0002794381787784514,1.0043922075882153e-07,1.1604872812448515e-06,1.260926502003673e-06,490.26033115386963,1714598550.90944,126,135736,486.1852054595947
0.0002741322568097555,9.691928620922259e-08,1.060834423076351e-06,1.1577537092855736e-06,538.6175007820129,1714598599.2666097,127,149309,534.5423491001129
0.0002675835588286894,9.336434030109871e-08,9.608228897185957e-07,1.0541872300196944e-06,592.1456322669983,1714598652.7947412,128,164240,588.0704832077026
0.0002591923683806245,8.94219772430207e-08,8.667914366997529e-07,9.562134139427736e-07,650.7885229587555,1714598711.4376318,129,180664,646.7134387493134
0.0002494577473997202,8.527042585810464e-08,7.823051808397898e-07,8.675756066978945e-07,715.5413446426392,1714598776.1904535,130,198731,711.4661791324615
0.0002402771342702954,8.157323612875959e-08,7.075476426172972e-07,7.891208787460568e-07,786.7720460891724,1714598847.421155,131,218604,782.6969406604767
0.00023356878155676104,7.883448614926222e-08,6.423017861872558e-07,7.21136272336518e-07,865.2305808067322,1714598925.8796897,132,240464,861.1554627418518
0.00022987581234074826,7.703891232258881e-08,5.869347002116382e-07,6.63973612534227e-07,950.9915909767151,1714599011.6406999,133,264510,946.9165599346161
0.00022881172310694462,7.627891001983961e-08,5.594104435974335e-07,6.356893536172731e-07,1004.0773344039917,1714599064.7264433,134,279517,1000.0023808479309
